text,Kommentar,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16
(Tripadvisor die Bewertung gut leider nicht) Die Lammhaxe war sehr gut!,,"Lammhaxe, foodq, pos, gut",,,,,,,,,,,,,,,
"Leider wurden unsere Erwartungen, nach soviel positiven Bewertungen sehr enttäuscht.",,"NULL, restaurantg, neg, enttäuscht",,,,,,,,,,,,,,,
"Vorspeise, Hauptgang und Dessert - alles war top!",ist das nicht foodq?,"Vorspeise, foodq, pos, top","Hauptgang, foodq, pos, top","Dessert, foodq, pos, top",,,,,,,,,,,,,
"Heute hier - neuer Standort, bin ich etwas sehr enttäuscht.",,"NULL, restaurantg, neg, enttäuscht",,,,,,,,,,,,,,,
Das Restaurant scheint im vorigen Jahrhundert stehen geblieben zu sein.,,"Restaurant, restaurantg, neg, im vorigen Jahrhundert stehen geblieben",,,,,,,,,,,,,,,
Das Essen war ausgezeichnet und der Preis angemessen.,"Preis/Preisen nicht als aspect term, NULL verwenden. So ist es auch bei Rest16","Essen, foodq, pos, ausgezeichnet","NULL, restaurantp, neu, angemessen",,,,,,,,,,,,,,
Ich werde mich dort nicht mehr aufhalten und meine Zeit verbringen.,,"NULL, restaurantg, neg, nicht mehr aufhalten",,,,,,,,,,,,,,,
In diesem Restaurant fühlt man sich sofort willkommen.,,"Restaurant, restaurantg, pos,fühlt man sich sofort willkommen",,,,,,,,,,,,,,,
"Wir waren so enttäuscht , dass uns die Lust zum shoppen vergangen ist und wir sind nach LOC gefahren.",,"NULL, restaurantg, neg, enttäuscht",,,,,,,,,,,,,,,
Das Carpaccio war sehr lecker.,,"Carpaccio, foodq, pos, lecker",,,,,,,,,,,,,,,
"Schade, so hatten wir uns den Abend nicht vorgestellt.",,"NULL, restaurantg, neg, Schade",,,,,,,,,,,,,,,
Schöne Atmosphäre Schnelle und aufmerksame Bedingungen Super lecker und viele verschiedene Gerichte Preis Leistung super,,"Atmosphäre, amb, pos, Schöne","Bedingungen, serv, pos, Schnelle","Gerichte, foods, pos, viele verschiedene","NULL, restaurantp, pos, super","Bedingungen, serv, pos, aufmerksame","NULL, foodq, pos, lecker",,,,,,,,,,
Im Ergebnis haben weder die Speisen noch der Wein ihren Preis gerechtfertigt.,,"Speisen, foodp, neg, weder die Speisen noch der Wein ihren Preis gerechtfertigt","Wein, drinkp, neg, weder die Speisen noch der Wein ihren Preis gerechtfertigt",,,,,,,,,,,,,,
Dazu war das LOC sehr gut.,,"LOC, restaurantg, pos, gut",,,,,,,,,,,,,,,
"Wir Waren wieder gerne bei euch zum Essen, wie Erwartet war der Besuch im RESTAURANT_NAME eine Gaumenfreude.",,"Essen, foodq, pos, gerne","NULL, foodq, pos, Gaumenfreude",,,,,,,,,,,,,,
Die Mitarbeiter waren sehr freundlich und schnell obwohl es sehr voll war.,,"Mitarbeiter, serv, pos, freundlich","Mitarbeiter, serv, pos, schnell","NULL, amb, neg, voll",,,,,,,,,,,,,
überaus fein.,,"NULL, foodq, pos, fein",,,,,,,,,,,,,,,
"Der verbleibende Mitarbeiter, der sich dann alleine um alle besetzten Tische im Außenbereich gekümmert hat, war sehr bemüht, hatte aber keine Chance dies alleine zu bewältigen.",,"Mitarbeiter, serv, pos, bemüht",,,,,,,,,,,,,,,
Es war für uns echt unangenehm.,,"NULL, restaurantg, neg, unangenehm",,,,,,,,,,,,,,,
Guter und freundlicher Service und ein echt gutes Essen!,,"Service, serv, pos, Guter","Essen, foodq, pos, gutes","Service, serv, pos, freundlicher",,,,,,,,,,,,,
Nicht gemütlich.,,"NULL, amb, neg, Nicht gemütlich",,,,,,,,,,,,,,,
Wir hatten eine sehr schönen Abend.,,"NULL, restaurantg, pos, schönen",,,,,,,,,,,,,,,
Man zahlt nur für die Aussicht mehr nicht hat meinen Vorstellungen garnicht gepasst pure Enttäuschung .,,"NULL, restaurantg, neg, Enttäuschung",,,,,,,,,,,,,,,
"15 Pommes und davon 5 ungenießbar, da fast verkohlt.","15 Pommes ist kein OT, würde ""fast verkohlt"" nehmen...","Pommes, foodq, neg, ungenießbar","Pommes, foodq, neg, fast verkohlt",,,,,,,,,,,,,,
"Wenn wir mal wieder in LOC sind, werden wir sicher wieder da essen gehen ☺️",,"NULL, restaurantg, pos, werden wir sicher wieder da essen",,,,,,,,,,,,,,,
Jedoch wurde die angekündigte Fertigstellungszeit weit überschritten und wir haben über eine halbe Stunde gewartet.,,"NULL, serv, neg, haben über eine halbe Stunde gewartet",,,,,,,,,,,,,,,
Auf mich machte es den Eindruck von gekochtem Hundefutter mit Sauce.,,"NULL, foodq, neg, Eindruck von gekochtem Hundefutter mit Sauce",,,,,,,,,,,,,,,
Kommen immer gerne wieder hier her und das schon eine sehr sehr lange Zeit und haben bis heute keinen Tag bereut den wir hier waren.,,"NULL, restaurantg, pos, gerne wieder","NULL, restaurantg, pos, keinen Tag bereut",,,,,,,,,,,,,,
Die Kellnerin versuchte zu protestieren dass das Gericht beim Foto anders aussehen kann.,,"Kellnerin, serv, neg, protestieren",,,,,,,,,,,,,,,
"6 Salatblätter Frisee und 2/3 Croutons sind keine 12,50€ wert!",,"Salatblätter Frisee, foodp, neg, 12,50€","Croutons, foodp, neg, 12,50€",,,,,,,,,,,,,,
Steak nicht leicht essbar und mit Sehnen.,,"Steak, foodq, neg, nicht leicht essbar","Steak, foodq, neg, mit Sehnen",,,,,,,,,,,,,,
"Schade auch, dass der Kellner doch etwas zu viel auf sich gehalten hat und unser schmales Trinkgeld (wegen schlechter Service-Qualität) nicht einmal angenommen hat.",,"Kellner, serv, neg, zu viel auf sich gehalten","NULL, serv, neg, schlechter",,,,,,,,,,,,,,
"das typische Touristenrestaurant, Masse statt Klasse.",,"Touristenrestaurant, restaurantg, neg, Masse statt Klasse",,,,,,,,,,,,,,,
Alles in allem ein sehr gelungener Besuch!,,"NULL, restaurantg, pos, gelungener Besuch",,,,,,,,,,,,,,,
Besser nicht!,,"NULL, restaurantg, neg, Besser nicht",,,,,,,,,,,,,,,
Vom Anfang an war die Kellnerin schon sehr nicht so freundlich.,,"Kellnerin, serv, neg, nicht so freundlich",,,,,,,,,,,,,,,
Mehr als 2 Punkte gibt es nicht.,,"NULL, restaurantg, neg, Mehr als 2 Punkte gibt es nicht",,,,,,,,,,,,,,,
"Darauf angesprochen, meinte die Bedienung, dass Öl gesund sei........Die aufgerufenen Preise waren absolut überzogen.","Preis/Preisen nicht als aspect term, NULL verwenden. So ist es auch bei Rest16","NULL, restaurantp, neg, überzogen",,,,,,,,,,,,,,,
Das Schnitzel war das Fleisch gut jedoch weder Fleisch noch Panade gesalzen und Gewürzt nach würzen bringt es nicht die Bratkartoffeln auch beim Tagesgericht verdienen das Wort nicht nur wenige waren gebraten alle anderen offensichtlich in noch nich erhitzten Fett oder Öl warm gemacht dadurch haben sie sich vollgesogen so was darf man nicht servieren den Kellnern den wir das dagegen interessieren sich nicht,,"Fleisch, foodq, pos, gut","Fleisch, foodq, neg, gesalzen","Panade, foodq, neg, gesalzen","Bratkartoffeln, foodq, neg, verdienen das Wort nicht","Kellnern, serv, neg, interessieren sich nicht",,,,,,,,,,,
Service sehr freundlich und flirty.,flirty auch positiv :D,"Service, serv, pos, freundlich","Service, serv, pos, flirty",,,,,,,,,,,,,,
So eine Esskultur möchten wir eigentlich nicht und möchten es auch LOC die nächste Generation vermitteln.,,"Esskultur, foodq, neg, möchten wir eigentlich nicht ",,,,,,,,,,,,,,,
Einzig unsere Bedienung hätte etwas freundlicher sein können.,"würde ""hätte"" mit reinnehmen in OT","Bedienung, serv, neg, hätte etwas freundlicher sein können",,,,,,,,,,,,,,,
Sollte Mann dann doch bei einem Besuch in LOC mit erleben Recht beeindruckend - der große Saal mit den Gewölben und den Malereien Kann auch sehr gut zu Abend essen dort - und natürlich auch ein gepflegtes Bier trinken,,"Saal mit den Gewölben, amb, pos, beeindruckend","Malereien, amb, pos, beeindruckend","Bier, drinkq, pos, gepflegtes","NULL, foodq, pos, gut",,,,,,,,,,,,
Super nette Bedienung und gute Qualität beim Essen.,,"Bedienung, serv, pos, nette","Essen, serv, pos, gute Qualität",,,,,,,,,,,,,,
"Klasse Essen, Personal und Service war super, vor allem Alberto war unser Glücksbringer .",,"Essen, foodq, pos, Klasse","Service, serv, pos, super","Personal, serv, pos, super","Alberto, serv, pos, Glücksbringer",,,,,,,,,,,,
War komisch!,,"NULL, restaurantg, neg, komisch",,,,,,,,,,,,,,,
Unser neuer Favorit in LOC!,,"NULL, restaurantg, pos, neuer Favorit",,,,,,,,,,,,,,,
"Essen nicht zu toppen( Kabeljaufilet und zum Nachtisch Blausilikum), alles super kreiert und gekocht, in einem schönen Ambiente.",,"Essen, foodq, pos, nicht zu toppen","Kabeljaufilet, foods, pos, super kreiert","Blausilikum, foods, pos, super","Ambiente, amb, pos, schönen","Blausilikum, foodq, pos, super","Kabeljaufilet, foodq, pos, super",,,,,,,,,,
Sehr guter Service von Lena.,,"Lena, serv, pos, guter",,,,,,,,,,,,,,,
"Richtig schön, waren die Blumenblätter auf den Gerichten, aber das war leider auch schon alles.",,"NULL, restaurantg, neg, war leider auch schon alles","Blumenblätter, foods, pos, schön",,,,,,,,,,,,,,
"Wir hatten das große Glück, einen Tisch direkt am Fenster zu bekommen, mit Blick auf die wunderschöne Binnenalster mit all den angrenzenden historischen Gebäuden.",,"Blick auf die wunderschöne Binnenalster mit all den angrenzenden historischen Gebäuden, amb, pos, Glück",,,,,,,,,,,,,,,
Wir haben da dann offensichtlich einen schlechten Tag erwischt.,,"NULL, restaurantg, neg, schlechten Tag",,,,,,,,,,,,,,,
"Und heute -September 2023 haben wir auch gleiches bestellt,ist volle Enttäuschung -die Bratwürste sind um 2-3 cm kürzer geworden und Kartoffelsalat-wie Wassersuppe auch geschmacklos.",,"Bratwürste, foods, neg, 2-3 cm kürzer","Kartoffelsalat, foodq, neg, Wassersuppe","Wassersuppe, foodq, neg, geschmacklos",,,,,,,,,,,,,
"Das nächste Mal, ach nein - das wird es nicht geben.",,"NULL, restaurantg, neg, nächste Mal, ach nein - das wird es nicht geben",,,,,,,,,,,,,,,
"), die Bedienung zuvorkommend und liebenswert, die Weine dazu passend.",,"Bedienung, serv, pos, zuvorkommend","Weine, drinkq, pos, passend","Bedienung, serv, pos, liebenswert",,,,,,,,,,,,,
"Geschätzt 10 Bedienungen haben versucht uns zu versorgen immer wieder Doppelbestellungen, weil keiner wirklich Wuste was der andere macht.",,"Bedienungen, serv, neg, immer wieder Doppelbestellungen",,,,,,,,,,,,,,,
"Diesmal überzeugte uns das ""Duett vom Hirsch, Roulade und Frikadelle"" eine äußerst gelungene Komposition, die wir mehrmals aßen, weil so noch nie gefunden.",,"Duett vom Hirsch, foodq, pos, gelungene","Roulade, foodq, pos, gelungene","Frikadelle, foodq, pos, gelungene",,,,,,,,,,,,,
Ein Ort der zum Verweilen einlädt!,,"NULL, restaurantg, pos, Ort der zum Verweilen einlädt",,,,,,,,,,,,,,,
Auf jeden Fall eine Lokalität die man besuchen sollte wenn man in LOC ist.,,"Lokalität, restaurantg, pos, die man besuchen sollte",,,,,,,,,,,,,,,
Tolles und gemütliches Ambiente,,"Ambiente, amb, pos, Tolles","Ambiente, amb, pos, gemütliches",,,,,,,,,,,,,,
"Die gewählten Gerichte: Cordon Blue, doppelter Schaschlik-Spieß, Pfefferlendchen, zwei Kindergerichte und eine „kleine Portion Rippchen“ waren schmackhaft, appetitlich angerichtet und so reichlich konzipiert, dass eine große „in weiser Voraussicht“ mitgebrachte Dose auch das Mittagessen für den morgigen Tag gesichert hat.",,"Cordon Blue, foodq, pos, schmackhaft","Schaschlik-Spieß, foodq, pos, schmackhaft","Pfefferlendchen, foodq, pos, schmackhaft","Kindergerichte, foodq, pos, schmackhaft","Rippchen, foodq, pos, schmackhaft","Cordon Blue, foods, pos, appetitlich angerichtet","Schaschlik-Spieß, foods, pos, appetitlich angerichtet","Pfefferlendchen, foods, pos, appetitlich angerichtet","Kindergerichte, foods, pos, appetitlich angerichtet","Rippchen, foods, pos, appetitlich angerichtet","Cordon Blue, foods, pos, reichlich konzipiert","Schaschlik-Spieß, foods, pos, appetitlich angerichtet","Pfefferlendchen, foods, pos, reichlich konzipiert","Kindergerichte, foods, pos, reichlich konzipiert","Rippchen, foods, pos, reichlich konzipiert",
"Für jeden Geschmack, auch vegan 🌱, war etwas dabei.",,"NULL, foodq, pos, Für jeden Geschmack",,,,,,,,,,,,,,,
"Wir lieben Trüffel, wenn sie hochqualitativ sind.",,"Trüffel, foodq, pos, hochqualitativ",,,,,,,,,,,,,,,
"Delikat angerichtet, tolle Performance beim Servieren.",,"NULL, foods, pos, Delikat","NULL, serv, pos, tolle",,,,,,,,,,,,,,
Muss nicht sein.,,"NULL, restaurantg, neg, Muss nicht sein",,,,,,,,,,,,,,,
Am besten war noch der dazu bestellte große Salatteller mit Speckwürfel und die gekaufte Breze.,,"Salatteller mit Speckwürfel, foodq, pos, Am besten","Breze, foodq, pos, Am besten",,,,,,,,,,,,,,
"Schlechtester Belag, den wir bis jetzt bekommen haben.",,"Belag, foodq, neg, Schlechtester",,,,,,,,,,,,,,,
"Super Service, tolle Fotos und immer ein nettes Gespräch.",,"Service, serv, pos, Super","Fotos, amb, pos, tolle",,,,,,,,,,,,,,
Spätzle weiche Teigmasse.,"""weiche Teigmasse"" als OT","Spätzle, foodq, neg, weiche Teigmasse",,,,,,,,,,,,,,,
Leider kann ich den LOC nicht empfehlen .,,"LOC, restaurantg, neg, nicht empfehlen",,,,,,,,,,,,,,,
Schönes portugiesisches Lokal mit Tapas.,,"Lokal, restaurantg, pos, Schönes",,,,,,,,,,,,,,,
"Für mich ganz klar, einmal und nie wieder „Pfefferkorn“ in LOC.",,"Pfefferkorn, restaurantg, neg, einmal und nie wieder",,,,,,,,,,,,,,,
"Zudem war alles sehr überteuert, da hätten wir wenigstens etwas mehr Entgegenkommen erwartet.",,"NULL, restaurantp, neg, überteuert","NULL, serv, neg, mehr Entgegenkommen erwartet",,,,,,,,,,,,,,
Kellerbier auch gut.,,"Kellerbier, drinkq, pos, gut",,,,,,,,,,,,,,,
Einfach Daumen hoch!!,,"NULL, restaurantg, pos, Daumen hoch",,,,,,,,,,,,,,,
Die kalten Sommerröllchen mit Huosin Sauce sind sehr zu empfehlen.,empfehlen reicht,"Sommerröllchen mit Huosin Sauce, foodq, pos, empfehlen",,,,,,,,,,,,,,,
Wir haben zügig bestellen können und die Vorspeisen noch zügiger erhalten.,,"NULL, serv, pos, zügig",,,,,,,,,,,,,,,
ein wirklich tolles Restaurant.,,"Restaurant, restaurantg, pos, tolles",,,,,,,,,,,,,,,
"Ich war ein absoluter Stammkunde, aber das hat jetzt ein Ende.",,"NULL, restaurantg, neg, Ich war ein absoluter Stammkunde, aber das hat jetzt ein Ende",,,,,,,,,,,,,,,
Essen eher unteres Mittelmaß.,,"Essen, foodq, neg, unteres Mittelmaß",,,,,,,,,,,,,,,
"Auch hier: sieht beeindruckend aus, hilft aber geschmacklich leider nicht weiter.",,"NULL, foods, neg, beeindruckend","NULL, foodq, neg, leider nicht weiter",,,,,,,,,,,,,,
Im LOC hat man die Preise stark angehoben und die Qualität verschlechtert.,"Preis/Preisen nicht als aspect term, NULL verwenden. So ist es auch bei Rest16","NULL, restaurantp, neg, angehoben","NULL, restaurantg, neg, verschlechtert",,,,,,,,,,,,,,
"Der ""zuständige"" Kellner schnauzte uns über sämtliche Tische sehr laut an, dass man kein ""mitgebrachtes Essen"" verzehren dürfte....(Eis: mitgebrachtes Essen????",,"Kellner, serv, neg, laut",,,,,,,,,,,,,,,
Wir sind begeistert und mögen diesen schrägen Tim in dieser seiner RESTAURANT_NAME.,,"NULL, restaurantg, pos, begeistert",,,,,,,,,,,,,,,
"Eigentlich schade, es bleibt nur noch eine schöne Erinnerung (Es war einmal ein LOC…….",,"NULL, restaurantg, neg, schade","NULL, restaurantg, neg, bleibt nur noch eine schöne Erinnerung",,,,,,,,,,,,,,
"Nun - sicher , es ist Urlaubszeit, Touristen, viele Menschen, es ist warm …Aber - das Aufgeben einer Bestellung dauert sehr lange, dann auch nur, durch lautstarke Aufforderung.",,"Bestellung, serv, neg, lange",,,,,,,,,,,,,,,
Wir waren mit unserem Besuch vollsten zufrieden.,,"NULL, restaurantg, pos, zufrieden",,,,,,,,,,,,,,,
Die Pizza war perfekt und gut belegt.,"""gut belegt"" statt nur ""belegt""","Pizza, foodq, pos, perfekt","Pizza, foodq, pos, gut belegt",,,,,,,,,,,,,,
"Die Desserts waren mir nicht möglich zu essen, sahen dafür umso besser aus - bei diesen hätte ich sehr gerne zugeschlagen!",,"Desserts, foods, pos, sahen dafür umso besser aus",,,,,,,,,,,,,,,
"Die Gerichte waren aber keine Highlights - schmackhaft, solide ... gut!",,"Gerichte, foodq, pos, keine Highlights","Gerichte, foodq, pos, keine Highlights","Gerichte, foodq, pos, solide","Gerichte, foodq, pos, gut",,,,,,,,,,,,
Denn irgendwie geht es mir mittlerweile auf den Keks diese Warterei.,,"Warterei, serv, neg, geht es mir mittlerweile auf den Keks",,,,,,,,,,,,,,,
"Aber leider war es dort der größte Reinfall, den ich in den letzten Jahren erlebt habe.",,"NULL, restaurantg, neg, Reinfall",,,,,,,,,,,,,,,
Macht weiter so.,,"NULL, restaurantg, pos, weiter so",,,,,,,,,,,,,,,
"RESTAURANT_NAME lehnt ab, einen teuren Gutschein für einen Jazzbranch einzulösen, weil er älter als 3 Jahre ist und mit dem 23.12.19 um 1 Monat abgelaufen ist.",,"RESTAURANT_NAME, restaurantg, neg, lehnt ab",,,,,,,,,,,,,,,
"Alles in allem: absolute Empfehlung, gerne wieder.","Noch ein weiteres Quadruple mit opinion term ""Empfehlung""","NULL, restaurantg, pos, gerne wieder","NULL, restaurantg, pos, Empfehlung",,,,,,,,,,,,,,
"Leider bestand die angekündigte starke Marmorierung des teuren Chuck Flap Steaks nicht aus Fett, sondern aus Sehnen, was der Kellner angesichts der Reste auf dem Teller mit einem „zu zäh?",,"Chuck Flap Steaks, foodp, neg, teuren","Chuck Flap Steaks, foodq, neg, aus Sehnen",,,,,,,,,,,,,,
Highlight vorne weg war das Baguette mit Aioli.,,"Baguette mit Aioli, foodq, pos, Highlight",,,,,,,,,,,,,,,
Zubereitung auf den Punkt und ansprechend serviert.,,"NULL, foodq, pos, Zubereitung auf den Punkt","NULL, serv, pos, ansprechend",,,,,,,,,,,,,,
"Die Speisenauswahl ist sehr groß, alle Küchen der Welt sind vertreten.",,"Speisenauswahl, foods, pos, groß",,,,,,,,,,,,,,,
Das Ambiente war sehr gemütlich.,,"Ambiente, amb, pos, gemütlich",,,,,,,,,,,,,,,
Immer wieder gerne der köbes war lustig typisch Kölsch.,,"NULL, restaurantg, pos, Immer wieder gerne",,,,,,,,,,,,,,,
"Denn Erholung, was ja ein Abend mit gutem Essen, netter Unterhaltung miteinander und in stilvoller Umgebung, ausmacht, war es nicht.",,"NULL, restaurantg, neg, nicht",,,,,,,,,,,,,,,
"Derzeit fehlen die Schließzeiten: Man öffnet in der Situation, aber man schließt flexibel.",,"Schließzeiten, serv, neg, fehlen",,,,,,,,,,,,,,,
Hervorragend zart und auf den Punkt.,,"NULL, foodq, pos, zart","NULL, foodq, pos, auf den Punkt",,,,,,,,,,,,,,
"Zum Eigentlichen, ja die Gerichte sind nett angerichtet, geschmacklich etwas über dem Durchschnitt der sonstigen Griechen.",,"Gerichte, foods, pos, nett angerichtet","Gerichte, foodq, pos, über dem Durchschnitt",,,,,,,,,,,,,,
"Es fing damit an, dass wir trotz schriftlich bestätigter Reservierung warten mussten, unfreundlich behandelt - das Restaurant ist auf maximale Auslastung getrimmt.",,"NULL, serv, neg, unfreundlich",,,,,,,,,,,,,,,
Alles in allem 3 von 5 Sternen.,,"NULL, restaurantg, neu, 3 von 5 Sternen",,,,,,,,,,,,,,,
Immerhin keine lange Wartezeit.,,"Wartezeit, serv, pos, keine lange",,,,,,,,,,,,,,,
Sehr lecker und gemütlich.,,"NULL, foodq, pos, lecker","NULL, amb, pos, gemütlich",,,,,,,,,,,,,,
Einfach nur enttäuschend.,,"NULL, restaurantg, neg, enttäuschend",,,,,,,,,,,,,,,
"Die Räumlichkeiten sind riesengroß und wer mit anderen Menschen in Kontakt kommen möchte, hat hier die besten Chancen.",,"Räumlichkeiten, amb, pos, riesengroß",,,,,,,,,,,,,,,
"200.- Euro für 2 Stück Fleisch mit Sauce und Stampf, 2 kleine Vorspeisen, 2 Flaschen Wasser und 3 Gläser Wein ist überzogen!",,"Fleisch mit Sauce, foodp, neg, überzogen","Stampf, foodp, neg, überzogen","Vorspeisen, foodp, neg, überzogen","Wasser, drinkp, neg, überzogen","Wein, drinkp, neg, überzogen",,,,,,,,,,,
"Das einzige mango ist die freundlichkeit der Servicekräfte, das könnte besser sein, ansonsten gab es nichts zu meckern.",,"Servicekräfte, serv, neg, einzige mango ist die freundlichkeit",,,,,,,,,,,,,,,
"Wer noch nie im RESTAURANT_NAME war, muss unbedingt hier hin.",,"RESTAURANT_NAME, restaurantg, pos, unbedingt hier hin",,,,,,,,,,,,,,,
Das naturtrübe Bier frisch gezapft.... schön gekühlt und wunderbarer Geschmack.,,"Bier, drinkq, pos, wunderbarer",,,,,,,,,,,,,,,
Qualitativ hatten wir erheblich besseres erwartet als zähes Wildfleisch mit bestenfalls durchschnittlichen Geschmack.,durchschnittlich ist neutral,"Wildfleisch, foodq, neg, zähes","Wildfleisch, foodq, neg, durchschnittlichen",,,,,,,,,,,,,,
Schnelligkeit in der Küche etc. alles super.,,"Küche, serv, pos, Schnelligkeit","NULL, restaurantg, pos, super",,,,,,,,,,,,,,
Das Brot war total altbacken und überhaupt nicht frisch.,,"Brot, foodq, neg, altbacken","Brot, foodq, neg, überhaupt nicht frisch",,,,,,,,,,,,,,
Sehr leckerer Lachsteller mit Kartoffeln und Gemüse in schönem Ambiente.,,"Lachsteller mit Kartoffeln, foodq, pos, leckerer","Gemüse, foodq, pos, leckerer","Ambiente, amb, pos, schönem",,,,,,,,,,,,,
"Sorry, aber die Optik der Gerichte wäre sogar nur 2 Punkte wert.",,"Optik der Gerichte, foods, neg, nur 2 Punkte wert",,,,,,,,,,,,,,,
"Ach ne, Pampe war das seltsame Sauerkraut.",,"Sauerkraut, foodq, neg, seltsame",,,,,,,,,,,,,,,
"LOC Bedienung, lange Wartezeit am Tisch.",,"Wartezeit, serv, neg, lange",,,,,,,,,,,,,,,
Sehr schlechte Bedienung Total überhöhte Preise.,"Preis/Preisen nicht als aspect term, NULL verwenden. So ist es auch bei Rest16","Bedienung, serv, neg, schlechte","NULL, restaurantp, neg, überhöhte",,,,,,,,,,,,,,
Es gab einen Gruß aus der Küche vorweg und dann ein zartes Steak zum Fairen Preis.,,"Steak, foodq, pos, zartes","Steak, foodp, pos, Fairen",,,,,,,,,,,,,,
Service wirklich auf Zack - mit Roboter-Unterstützung.,,"Service, serv, pos, auf Zack",,,,,,,,,,,,,,,
Wir fahren gerne wieder hin.,,"NULL, restaurantg, pos, gerne wieder",,,,,,,,,,,,,,,
Riesige Räume mit schlechter Belüftung.,,"Belüftung, amb, neg, schlechter",,,,,,,,,,,,,,,
"Es sah aus bzw. schmeckte nicht nach einem Ausrutscher aus der Küche, sondern nach strukturellem mangelndem Engagement und Lustlosigkeit gegenüber dem Kunden.",,"NULL, serv, neg, Lustlosigkeit","NULL, foodq, neg, mangelndem Engagement",,,,,,,,,,,,,,
"1 cm dicke Blutwurst, breiig wie Mus (statt kross gebraten)1 rundes Stück frittiertes Fleisch (was lt.",,"Blutwurst, foodq, neg, breiig",,,,,,,,,,,,,,,
"Das vorab..Wir wurden sehr freundlich empfangen, zum Platz geleitet und auch die Bedienung war sehr kompetent und zuvorkommend.",,"NULL, serv, pos, freundlich","Bedienung, serv, pos, kompetent","Bedienung, serv, pos, zuvorkommend",,,,,,,,,,,,,
"Statt sich um die Gäste zu kümmern wurde vorgezogen lautstark und vor den Gästen zu telefonieren, private Unterhaltungen zu führen oder Raucherpausen zu machen.",,"NULL, serv, neg, lautstark und vor den Gästen zu telefonieren","NULL, serv, neg, private Unterhaltungen zu führen","NULL, serv, neg, Raucherpausen","NULL, serv, neg, vor den Gästen zu telefonieren",,,,,,,,,,,,
Hätten wir mehr Zeit gehabt wären die Spätzle und der Ziegenkäse mit Salat sofort wieder in die Küche zurückgegangen.,,"Spätzle, foodq, neg, sofort wieder in die Küche zurückgegangen","Ziegenkäse mit Salat, foodq, neg, wieder in die Küche zurückgegangen",,,,,,,,,,,,,,
Die Haxe mit Knödel war gut.,,"Haxe mit Knödel, foodq, pos, gut",,,,,,,,,,,,,,,
Dessert auch wunderbar!,,"Dessert, foodq, pos, wunderbar",,,,,,,,,,,,,,,
"Der schlechteste und zugleich teuerste Burger aller Zeiten für 14,90 € ohne jegliche Beilage.",,"Burger, foodq, neg, schlechteste","Burger, foodp, neg, teuerste",,,,,,,,,,,,,,
Rundum ein gelungener Geburtstag und jeden Cent wert!,,"NULL, restaurantg, pos, gelungener ","NULL, restaurantp, pos, jeden Cent wert",,,,,,,,,,,,,,
Gepflegte Getränke und netter Service.,,"Getränke, foodq, pos, Gepflegte","Service, serv, pos, netter",,,,,,,,,,,,,,
"Wir waren sehr enttäuscht, konnten aber über Open Table einen Tisch in einem anderen Stuttgarter Restaurant (Weinsteige) bekommen, wo problemlos auf alle Allergien eingegangen wurde (Trotz festem Menu!)",,"NULL, restaurantg, neg, enttäuscht",,,,,,,,,,,,,,,
Preislich dafür zumindest teilweise deutlich überzeugen.,,"NULL, restaurantp, neg, überzeugen",,,,,,,,,,,,,,,
"Wie gesagt, es war alles super lecker, aber wir haben in besseren Restaurants in LOC gegessen und einen ähnlichen oder sogar günstigeren Preis bezahlt.","Preis/Preisen nicht als aspect term, NULL verwenden. So ist es auch bei Rest16","NULL, foodq, pos, lecker","NULL, restaurantp, neg,  günstigeren",,,,,,,,,,,,,,
Heute war es leider ein totaler Reinfall.,,"NULL, restaurantg, neg, Reinfall",,,,,,,,,,,,,,,
"Die Hauptgerichte kamen zu unterschiedlichen Zeiten, da die Bedienung nicht alles richtig aufgenommen hat.",,"Bedienung, serv, neg, nicht alles richtig aufgenommen",,,,,,,,,,,,,,,
Die Auswahl der Sprizz sind groß - schmeckt auch ohne Alkohol.,,"Auswahl der Sprizz, foods, pos, groß",,,,,,,,,,,,,,,
Eine gleichgültige Bedienung war mit der Bierversorgung völlig überfordert.,,"Bedienung, serv, neg, gleichgültige","Bedienung, serv, neg, überfordert",,,,,,,,,,,,,,
Service also lässt sehr zu wünschen übrig.,,"Service, serv, neg, zu wünschen übrig",,,,,,,,,,,,,,,
"Das LOC bietet ein authentisches Steakhouse-Erlebnis, das Fleischliebhaber begeistern wird.",,"LOC, restaurantg, pos, authentisches","NULL, foodq, pos, begeistern",,,,,,,,,,,,,,
"Die Das Ambiente ist authentisch, was uns sehr gefallen hat.",,"Ambiente, amb, pos, authentisch",,,,,,,,,,,,,,,
"LOC, süffiges Kölsch, netter Köbis und gute Brauhausküche.",,"Kölsch, foodq, pos, süffiges","Köbis, serv, pos, netter","Brauhausküche, foodq, pos, gute",,,,,,,,,,,,,
"Teilweise durchgegart, teilweise medium, fast roh und sehr sehr fett.",,"NULL, foodq, neg, Teilweise durchgegart","NULL, foodq, neg, teilweise medium","NULL, foodq, neg, fast roh","NULL, foodq, neg, fett",,,,,,,,,,,,
Köstlich!,,"NULL, foodq, pos, Köstlich",,,,,,,,,,,,,,,
Für uns ist das Frenzen eins der besten Restaurants in der Region und wir kommen immer sehr gerne hierher.,,"Frenzen, restaurantg, pos, kommen immer sehr gerne hierher",,,,,,,,,,,,,,,
